,10,20,40,80
115 -> 108 -> 114 -> 97  -> 102,29314.911067130924,29324.330659878586,29330.884342834783,30486.85085466893
104 -> 115 -> 108 -> 114 -> 97 ,29327.052708953623,29365.098553167314,29524.632487002084,30451.051263793386
106 -> 108 -> 114 -> 115 -> 97 ,29381.566308123376,29401.030809210726,29629.129116315395,30533.459411557826
113 -> 103 -> 109 -> 104 -> 107,29383.46744736867,29387.321997473293,29528.193474051306,30604.01242660681
108 -> 114 -> 111 -> 100 -> 109,29450.941264571342,29475.707453082552,29569.2437022414,31587.313119751983
104 -> 111 -> 100 -> 109 -> 97 ,29476.419515193345,29510.47798838884,29579.17873064235,30997.857272680507
100 -> 114 -> 99  -> 115 -> 108,29482.165435348383,29509.075685535732,29600.166664727025,30573.842564377082
113 -> 108 -> 100 -> 114 -> 102,29550.498916610955,29619.814155411892,29718.075138443586,33110.77620823863
96  -> 108 -> 103 -> 107 -> 115,29561.87130931497,29567.468355032994,29603.712074629835,31646.68574823348
104 -> 99  -> 111 -> 100 -> 109,29583.049361994315,29592.229415698228,29922.541006806183,30555.848271936422
115 -> 108 -> 98  -> 99  -> 114,29584.944803478473,29621.374250082976,29701.247122915313,30428.15767334872
102 -> 103 -> 113 -> 111 -> 100,29629.509772909347,29666.988799657793,29804.577825353663,31735.456424693715
113 -> 103 -> 109 -> 107 -> 96 ,29637.151564459986,29683.605615315522,29825.370805397593,31177.615238224418
113 -> 107 -> 103 -> 109 -> 104,29743.4540897824,29761.72454331861,29892.142932512397,30930.97855198946
115 -> 108 -> 114 -> 98  -> 102,29748.60373210795,29761.75094838221,29882.35782506212,30722.32139206361
108 -> 115 -> 98  -> 99  -> 114,29750.901492698107,29787.827718613946,29901.69272850774,30330.41406779441
108 -> 115 -> 114 -> 98  -> 102,29752.082199336324,29766.15743116673,29837.162898967905,30660.349263204775
103 -> 109 -> 104 -> 107 -> 96 ,29792.829420892973,29817.00154967593,29836.303055874516,30951.884709787497
106 -> 107 -> 113 -> 103 -> 109,29795.48676519376,29833.529484451257,29957.26045120634,31115.150142022503
103 -> 107 -> 115 -> 108 -> 102,29845.51812898483,29866.802333282685,29915.24431264292,31338.70410394267
